Symbol,Year,Target_Fraud,fraud_score,risk_level,pred_onto,f_accrual,f_noncore,f_shell,f_pump,f_rec,f_cash,f_lev,f_triangle,f_inv_anomaly,accrual_ratio,noncore_ratio,shell_ratio,rec_manip_ratio,cash_crunch_ratio,leverage_ratio,Delta_Gross_Margin,Delta_Leverage,Delta_Inv,Delta_Rev,Leverage,Rev,COGS,Gross_Profit,Selling_Exp,Admin_Exp,Net_Profit,ST_Assets,Rec,Inv,Fixed_Assets,Total_Assets,ST_Debt,LT_Debt,Total_Liabilities,n_1.owners_capital,Owners_Equity,depreciation_of_fixed_assets_and_properties_investment,Operating_Cash_Flow,Short_Term_Ratio
IDJ,2024,0,3.7,HighRisk,1,1,0,0,1,0,0,0,0,0,0.0389578149019308,-0.2098001114104072,0.6012680434121231,0.0991317440838515,0.1050335630897017,1.0075867715938198,0.0216276054446412,-0.2731761007658135,-0.1703435731686287,-0.1676381744354204,1.0075867715938198,717532138.0,466325773.0,251206365.0,108891561.0,26664808.0,95594301.0,2860753184.0,1214694494.0,1433393754.0,32779137.0,4210442126.0,2024733140.0,88443660.0,2113176799.0,1734901930.0,2097265326.0,6584935.0,-68435324.0,1.41
IDJ,2025,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,-0.0664699241680544,-1.2020206149319872,0.7351958654653362,-0.9128836562172242,0.1330579873137427,0.6709356800294594,-0.0875538845080473,-0.3366510915643604,-0.501556238816986,0.4753901155574442,0.6709356800294594,1058639824.0,780700465.0,277939359.0,187533991.0,69357367.0,-104187392.0,1533691867.0,683273499.0,714466174.0,31460174.0,3330305033.0,1021751469.0,315475630.0,1337227099.0,1734901930.0,1993077934.0,6562455.0,117177731.0,1.5
IMP,2023,0,3.15,HighRisk,1,1,0,0,0,0,0,0,0,1,0.141723939601374,-0.2720391024308156,0.2284071320041378,-0.1185574484858315,0.6853933576783929,0.1477690326320402,-0.0177779602330295,-0.0541351096341425,0.6048163401391924,0.2131343958322146,0.1477690326320402,1994036910.0,1183501179.0,810535731.0,309885868.0,119602910.0,299556006.0,1207134868.0,296563369.0,699445524.0,935553292.0,2392615157.0,308036214.0,0.0,308036214.0,700384490.0,2084578944.0,82642282.0,-39534840.0,3.92
IMP,2024,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,0.0417581452981492,-0.2938824899931479,0.2475897864150776,0.1880830580937673,0.9971047869059778,0.1473384973974364,-0.0184931281986026,-0.0004305352346038,0.008058756267057,0.1058571318020387,0.1473384973974364,2205119938.0,1349562786.0,855557153.0,312128895.0,128270026.0,320862393.0,1409543678.0,383735262.0,705082185.0,858811131.0,2504776667.0,321657498.0,0.0,321657498.0,1540427620.0,2183119169.0,105636227.0,216267565.0,4.38
IMP,2025,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,0.1060027123900177,-0.3245061165967592,0.3228647933614608,-0.0535884946660465,1.142387008714545,0.206419999050874,0.0223078939842713,0.0590815016534376,-0.0388138143073349,0.1070080315966922,0.206419999050874,2441085482.0,1439521366.0,1001564116.0,378319050.0,160809619.0,349138023.0,1507411306.0,404234222.0,677715256.0,781042693.0,2782634485.0,372432306.0,103680000.0,476112306.0,1540427620.0,2306522179.0,104717915.0,54171220.0,4.05
ITA,2023,1,8.2,HighRisk,1,1,0,1,1,1,0,0,0,1,0.020078634395683,-0.2150463378630255,0.6855123196420334,0.7213369960363535,0.0487124670789194,0.1730834989366996,0.4539364987145513,-0.0374398367239066,0.006998624790468,-1.3667761514777137,0.1730834989366996,566742967.0,247161422.0,319581545.0,2703841.0,67018411.0,205637666.0,4919675504.0,1272797362.0,3586208308.0,153597125.0,12084655471.0,1245468309.0,537571393.0,1783039702.0,9384636070.0,10301615769.0,47687138.0,-37005713.0,3.95
JVC,2023,0,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.086087176935522,0.4812356009731184,0.3749045912215804,-0.0418300716584279,1.469026133675827,0.3751537001837036,0.0135561596410029,0.0516909097276429,-0.1743009828208631,0.4541651220076019,0.3751537001837036,576287156.0,437423715.0,138863441.0,69946368.0,41609397.0,52639842.0,528425374.0,203501044.0,53013742.0,104314220.0,686676856.0,185095814.0,2235510.0,187331324.0,1125001710.0,499345532.0,47454102.0,-6474230.0,2.85
JVC,2024,0,3.15,HighRisk,1,0,0,0,0,1,0,0,0,1,-0.0548451339859944,0.0948647831460932,0.6663989728075651,0.8420351803002062,0.0768765061885603,0.5344281313945339,0.0003492235414171,0.1592744312108303,1.882787674184554,0.0611731541002798,0.5344281313945339,611540459.0,463968740.0,147571720.0,62073875.0,48988224.0,40336096.0,562294668.0,387304883.0,152827362.0,101266117.0,828102672.0,288286033.0,135011.0,288421044.0,1125001710.0,539681628.0,35302085.0,85753498.0,1.95
JVC,2025,0,3.9,HighRisk,1,1,0,0,0,1,0,0,0,0,0.1464933994061919,-0.0834718341227532,0.7305009615766308,0.2264415182204271,0.1072731367252348,0.7149364002406388,-0.0434030054141215,0.1805082688461048,-0.1923479383227199,0.2480763566290877,0.7149364002406388,763249188.0,612195722.0,151053466.0,54196878.0,43114866.0,49601402.0,739332740.0,571087973.0,123431334.0,121206785.0,1074035565.0,417750747.0,30001788.0,447752535.0,1125001710.0,626283030.0,24741762.0,-107737719.0,1.77
KBC,2023,1,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,-0.0226520145452187,-0.2840076178022307,0.5269604583734543,-5.02572217752533,0.478528166496853,0.6534509051326057,0.3780625238648344,-0.3025870574414676,-0.0090411164281074,4.912528054521499,0.6534509051326057,5618475348.0,1923081056.0,3695394291.0,354412075.0,458380733.0,2245003412.0,25029443705.0,9662549880.0,12218764106.0,448814409.0,33434220276.0,6578776213.0,6634571359.0,13213347571.0,7676047590.0,20220872704.0,132516494.0,3002355856.0,3.8
KBC,2024,0,3.15,HighRisk,1,0,0,0,0,1,0,0,0,1,-0.0162933365180046,-0.7151526599568092,0.4818934915470688,0.8833205578882019,1.25719501096517,1.166632515578964,-0.1953404613440469,0.5131816104463581,0.1334758427162977,-0.505956101064306,1.166632515578964,2775773467.0,1492307333.0,1283466134.0,98035321.0,459863902.0,423033429.0,36075390688.0,13308852767.0,13849673942.0,408327298.0,44729924911.0,7092665737.0,16992353040.0,24085018777.0,7676047590.0,20644906134.0,165079687.0,1151833148.0,5.09
KBC,2025,0,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.2907513890844297,-0.0964440798808251,0.4512609011200251,-1.0993910355592722,0.723795150974224,1.6080360346702385,0.0148605366283536,0.4414035190912744,0.946242215584428,1.4091304634550712,1.6080360346702385,6687200419.0,3495787670.0,3191412749.0,161571261.0,588263907.0,2226814505.0,55217134433.0,17431129209.0,26954820098.0,488911847.0,69750665023.0,14964434497.0,28041713160.0,43006147656.0,9417547590.0,26744517367.0,163261159.0,-18053288240.0,3.69
KDC,2023,0,2.75,MediumRisk,0,0,1,0,0,1,0,0,0,0,-0.0567427920199551,1.4951070397719148,0.4682523601666005,0.3129179150404146,0.6963428506826911,0.7417984589740038,-0.0037732731618566,-0.2439286837254204,-0.5153111059809283,-0.3099729081468647,0.7417984589740038,8649616206.0,7113403564.0,1536212642.0,1181128387.0,422014761.0,135183911.0,6964136146.0,2957423846.0,1072280081.0,2582180231.0,12391014153.0,4214062392.0,1063032186.0,5277094578.0,2898063160.0,7113919575.0,246420592.0,838284650.0,1.65
KDC,2024,0,2.0,MediumRisk,0,0,1,0,0,0,0,0,0,1,-0.0341424210033343,2.177354489531565,0.5889573371604154,0.1708475613329864,0.3652406454745349,0.8553650331706394,0.004054728303959,0.1135665741966356,0.1885329640847818,-0.0376666378300114,0.8553650331706394,8323814245.0,6811714762.0,1512099482.0,1135037735.0,455799735.0,66877044.0,6299254819.0,3351296285.0,1274440223.0,2592705596.0,13479535413.0,4581960775.0,1632408391.0,6214369167.0,2898063160.0,7265166246.0,309791899.0,527101017.0,1.37
KDC,2025,0,0.8,LowRisk,0,0,1,0,0,0,0,0,0,0,0.0351854588019336,1.105599033154377,0.5750798970068193,-0.2103870410945029,0.3732597492295891,0.8068281548985744,0.0028882717244436,-0.0485368782720649,0.1765712600237037,0.0877854433667747,0.8068281548985744,9054523969.0,7383532237.0,1670991731.0,1213655306.0,519347088.0,587227564.0,6359055496.0,2940422006.0,1499469739.0,2522098804.0,13980821929.0,5141630607.0,1101420638.0,6243051244.0,2898063160.0,7737770684.0,374046425.0,95305930.0,1.24
KDH,2023,0,4.9,HighRisk,1,1,0,0,1,0,0,0,0,1,0.0858250905643542,-0.6719335373951035,0.1319157654354158,-0.3654360687408682,0.7706030201899665,0.7059127179456114,0.2587524849286936,-0.1202935380152475,0.5085880293289713,-0.2830367242109687,0.7059127179456114,2087770677.0,501132984.0,1586637693.0,162401036.0,204561098.0,729500026.0,24736915318.0,1830746868.0,18786885579.0,81327029.0,26480719916.0,5345531698.0,5612283888.0,10957815586.0,7993119710.0,15522904330.0,-4530661.0,-1543210159.0,4.63
KDH,2024,0,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.1447177069374646,-0.6271973090526385,0.1579813148769908,0.078300189495988,0.8720666093870483,0.5810946575157567,-0.2293886058640478,-0.1248180604298546,0.1805062527122979,0.5703756366149978,0.5810946575157567,3278584206.0,1539036889.0,1739547317.0,222684170.0,209183836.0,803639057.0,28843541265.0,3018308105.0,22178035895.0,73341716.0,30757719910.0,4182246202.0,7122040124.0,11304286326.0,10111425650.0,19453433584.0,13552292.0,-3647547639.0,6.9
KDH,2025,0,3.9,HighRisk,1,1,0,0,0,1,0,0,0,0,0.1411609857991062,-0.3220159326329457,0.2306283517636269,0.3893854262851891,0.8222634382303945,0.6090205399158686,0.0633183039801029,0.0279258824001118,0.0489825096389582,0.4255520222560359,0.6090205399158686,4673792345.0,1898040545.0,2775751800.0,400819803.0,214934554.0,1633866423.0,31619491732.0,5478040411.0,23264371752.0,66632111.0,34064269839.0,3498975432.0,9394483349.0,12893458781.0,11222148990.0,21170811058.0,13651332.0,-3174679488.0,9.04
KPF,2022,1,5.65,HighRisk,1,1,0,0,1,1,0,0,0,0,0.0996565590526254,,0.9935102518152696,0.4937672405691856,,0.0154019623777862,0.3595650656899849,-0.4020132548614538,,-0.9628677662300864,0.0154019623777862,2000000.0,,2000000.0,,5673775.0,71546200.0,515644141.0,510458778.0,,31489.0,803860466.0,12193229.0,,12193229.0,608672410.0,791667237.0,13000.0,-8563768.0,42.29
KPF,2023,1,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,-0.0140480582455904,,0.997849085808326,0.1290964772085864,,0.0172044725143218,0.0,0.0018025101365355,,-0.4999999999999998,0.0172044725143218,1000000.0,,1000000.0,,37237277.0,1015479.0,322843656.0,321127819.0,,18489.0,806320404.0,13637688.0,,13637688.0,608672410.0,792682716.0,13000.0,12342715.0,23.67
KSA,2015,1,4.7,HighRisk,1,1,1,0,0,1,0,0,0,0,0.0661156144488937,1.0809503038886092,0.7385920981031281,6.945962058764348,3.1353275904261446,0.1208751401998403,-0.1925183392333287,-0.0211317473726369,-0.9227856362974458,0.5644763403004442,0.1208751401998403,108420579.0,103628041.0,4792538.0,54701.0,5232614.0,6112108.0,795462034.0,623870044.0,1998399.0,115101377.0,1096728006.0,54091187.0,64179927.0,118271114.0,934273578.0,978456892.0,863194.0,-66398738.0,14.71
KSA,2016,1,2.75,MediumRisk,0,1,1,0,0,0,0,0,0,0,0.1392989913550499,0.8173342063969985,0.8514769397003399,-0.9562139761693252,0.3868260965014377,0.1806967006796785,-0.0289472474604802,0.0598215604798382,0.4678925479846615,1.244641969676255,0.1806967006796785,243365382.0,239652609.0,3712774.0,0.0,2574038.0,6233986.0,862406153.0,803811629.0,2933435.0,114081549.0,1162621297.0,143891763.0,34038633.0,177930397.0,934273600.0,984690901.0,1019828.0,-155717988.0,5.99
KSA,2017,1,3.15,HighRisk,1,1,0,0,0,0,0,0,0,1,0.0495130744264009,0.0112816652872813,0.8817704727863978,-0.2797630888162006,0.0607839881490964,0.2797979985505338,0.0296337597408854,0.0991012978708552,5.866587123968997,0.2997790458135085,0.2797979985505338,316321224.0,302121651.0,14199573.0,622800.0,1504972.0,12209545.0,856978216.0,819900688.0,20142687.0,113588281.0,1274350093.0,278606941.0,0.0,278606941.0,934273600.0,995743152.0,439268.0,-50887446.0,3.08
KSB,2023,0,3.15,HighRisk,1,0,0,0,0,1,0,0,0,1,0.0104699939012337,-1.3816639028929534,0.9475816244619878,0.3697593165609407,0.092284647512744,1.1407429545165153,0.0833150410887678,-0.0452827297581681,0.0067041863846544,-0.3846812426711347,1.1407429545165153,528624280.0,289528133.0,239096147.0,12979769.0,50431304.0,73765687.0,1984914732.0,1839359140.0,28547469.0,78618951.0,4276640409.0,1267904534.0,1010999342.0,2278903875.0,766312020.0,1997736533.0,117665780.0,28989288.0,1.57
KSB,2024,0,1.95,MediumRisk,0,0,0,0,0,1,0,0,0,0,-0.0545796367555329,-1.0149510249524991,0.9752123239375756,0.2985421007454291,0.043757042901865,0.8588102146385725,-0.0095198034966082,-0.2819327398779427,-0.2480250701034126,-0.2409066473450671,0.8588102146385725,401275177.0,223598941.0,177676235.0,14392765.0,56565637.0,52962991.0,2013574627.0,1945371438.0,21466981.0,53933441.0,4927312657.0,1068084242.0,1208439960.0,2276524202.0,1147791030.0,2650788455.0,29821871.0,321893926.0,1.89
KSB,2025,0,0.0,LowRisk,0,0,0,0,0,0,0,0,0,0,0.0298488470063846,-0.2592329614622383,0.9054272840875924,-0.9467872765699604,0.3691402582040013,0.8607451815600817,-0.0355783272198469,0.0019349669215091,-0.2055623005396054,0.7715556424762352,0.8607451815600817,710881304.0,421409935.0,289471369.0,21868705.0,73264449.0,154330629.0,2063543187.0,1604480822.0,17054179.0,29916882.0,5170405040.0,1197399027.0,1194331592.0,2391730619.0,1147791030.0,2778674421.0,0.0,0.0,1.72
KSS,2014,1,1.95,MediumRisk,0,1,0,0,0,0,0,0,0,0,0.0877001924552484,-10.0,0.4708797661077545,-0.1130002797384653,0.0971752991753837,2.9640981440622607,-0.1253992426533151,-0.2955888493093055,0.0855034216265258,0.3344170179346928,2.9640981440622607,329463792.0,234386394.0,95077397.0,254545.0,4589233.0,3949953.0,1557569374.0,874722236.0,600864600.0,306930704.0,1870610456.0,843656142.0,555066286.0,1398722428.0,394325000.0,471888028.0,20832026.0,-160102944.0,1.85
KSS,2015,1,6.3,HighRisk,1,0,0,0,1,1,0,1,0,1,-0.089100606002732,,0.6959103534444362,1.2786316558572608,0.0073384332525021,3.973822683482616,-1.0880964444077077,1.009724539420355,-0.4248645518474545,-0.9447797438086916,3.973822683482616,18193075.0,32738697.0,-14545622.0,,4879169.0,-200864828.0,1522802058.0,1166749927.0,345578531.0,201939869.0,1834958889.0,1427225627.0,38810000.0,1466035627.0,494325000.0,368923262.0,11982116.0,-37368879.0,1.07
